,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,Donor_TransLB2,Donor_TransLB3,ReasonTubal,ReasonOvul,ReasonDOR,ReasonEndo,ReasonUterine,ReasonMale,ReasonOtherInfert,TransPGT1,TransPGT2,TransPGT3,TransPGT4
275,"BOSTON IVF, THE ALBANY CENTER",LOUDONVILLE,NEW YORK,2017,75,38,42,12,41.3%,42.1%,26.2%,1 / 12,7.0%,7.1%,5.4%,10.2%,,3 / 10,17%,19%,29%,8%,2%,19%,14%,15.1%,19.4%,23.3%,17.4%
276,NORTHWELL HEALTH FERTILITY,MANHASSET,NEW YORK,2017,294,190,194,114,48.3%,33.7%,21.6%,14.9%,6.5%,7.0%,10.7%,16.4%,2 / 4,52.5%,10%,9%,22%,3%,2%,27%,13%,53.0%,53.1%,63.2%,53.7%
277,LONG ISLAND IVF,MELVILLE,NEW YORK,2017,270,173,174,103,41.5%,30.6%,21.8%,13.6%,5.7%,9.9%,11.2%,13.6%,42.6%,34.0%,17%,14%,21%,4%,9%,26%,7%,14.3%,27.1%,18.2%,18.5%
278,REPRODUCTIVE SPECIALISTS OF NEW YORK,MINEOLA,NEW YORK,2017,254,172,194,121,41.3%,32.6%,21.6%,9.9%,5.5%,10.4%,8.2%,11.9%,4 / 10,45.9%,17%,11%,65%,6%,6%,25%,27%,18.2%,15.1%,23.8%,23.3%
279,WESTCHESTER REPRODUCTIVE MEDICINE,MOUNT KISCO,NEW YORK,2017,11,5,1,11,4 / 11,2 / 5,1 / 1,2 / 11,1 / 11,0 / 6,0 / 3,0 / 6,,,3%,17%,7%,3%,0%,53%,27%,1 / 6,2 / 5,0 / 2,2 / 5
280,"ADVANCED FERTILITY SERVICES, PC",NEW YORK,NEW YORK,2017,5,7,3,3,1 / 5,0 / 7,0 / 3,0 / 3,0 / 15,0 / 10,0 / 7,0 / 4,,,27%,4%,13%,11%,0%,11%,31%,0 / 9,0 / 8,0 / 4,0 / 2
281,CCRM NEW YORK,NEW YORK,NEW YORK,2017,19,15,26,18,2 / 19,1 / 15,3.8%,2 / 18,0.7%,2.1%,2.5%,8.3%,1 / 2,54.5%,7%,9%,42%,3%,4%,22%,19%,94.7%,98.2%,89.5%,14 / 15
282,CENTER FOR HUMAN REPRODUCTION (CHR),NEW YORK,NEW YORK,2017,50,34,86,68,24.0%,8.8%,5.8%,5.9%,6.5%,8.3%,9.3%,8.1%,2 / 16,22.7%,10%,12%,83%,13%,13%,26%,10%,14.0%,9.3%,9.3%,6.7%
283,CHELSEA FERTILITY NYC,NEW YORK,NEW YORK,2017,33,19,23,13,45.5%,8 / 19,21.7%,1 / 13,4.7%,2.2%,0.0%,1 / 15,,8 / 14,11%,13%,32%,1%,3%,24%,12%,57.9%,42.9%,46.2%,3 / 5
284,COLUMBIA UNIVERSITY FERTILITY CENTER,NEW YORK,NEW YORK,2017,193,204,271,153,32.1%,20.1%,14.8%,7.8%,5.2%,5.3%,16.1%,19.8%,,49.0%,14%,48%,38%,5%,23%,58%,16%,10.5%,14.8%,22.5%,20.5%
285,EXTEND FERTILITY-EXPECT FERTILITY,NEW YORK,NEW YORK,2017,0,0,0,0,,,,,7.1%,4.5%,10.7%,16.7%,,,<1%,1%,<1%,0%,0%,<1%,0%,9 / 9,2 / 3,1 / 1,
286,"GENERATION NEXT FERTILITY, PLLC",NEW YORK,NEW YORK,2017,0,0,0,0,,,,,5.1%,4.7%,1.4%,10.0%,,2 / 5,6%,5%,28%,2%,9%,13%,11%,16.7%,25.0%,17.2%,21.7%
287,"LIBERA MEDICAL, PLLC",NEW YORK,NEW YORK,2017,173,152,178,114,38.7%,33.6%,14.6%,6.1%,6.7%,12.0%,16.0%,16.9%,0 / 1,57.1%,3%,12%,48%,10%,5%,16%,47%,34.5%,45.5%,32.7%,17.7%
288,"ANDREW LOUCOPOULOS, MD, PHD",NEW YORK,NEW YORK,2017,9,6,8,1,6 / 9,0 / 6,1 / 8,0 / 1,0 / 15,0 / 13,0 / 9,0 / 3,,0 / 2,4%,2%,66%,2%,0%,0%,23%,2 / 7,2 / 3,,0 / 2
289,MANHATTAN REPRODUCTIVE MEDICINE,NEW YORK,NEW YORK,2017,5,3,12,0,2 / 5,1 / 3,5 / 12,,0 / 14,0 / 8,0 / 8,0 / 3,,4 / 5,41%,37%,59%,12%,33%,45%,2%,0 / 13,0 / 7,0 / 7,0 / 2
290,"METROPOLITAN REPRODUCTIVE MEDICINE, PC",NEW YORK,NEW YORK,2017,7,6,5,0,4 / 7,4 / 6,2 / 5,,7.9%,3 / 19,0 / 8,0 / 2,,0 / 5,15%,7%,30%,4%,8%,15%,8%,21.7%,5 / 10,0 / 3,0 / 2
291,NEW HOPE FERTILITY CENTER,NEW YORK,NEW YORK,2017,340,289,534,480,37.9%,24.9%,14.4%,4.4%,3.2%,5.5%,6.4%,7.8%,3 / 10,39.6%,10%,4%,67%,2%,5%,9%,4%,66.0%,71.5%,69.6%,76.5%
292,NEW YORK FERTILITY INSTITUTE,NEW YORK,NEW YORK,2017,22,16,16,2,13.6%,1 / 16,3 / 16,0 / 2,4.8%,2.7%,0 / 18,0 / 11,,2 / 16,0%,6%,14%,4%,11%,14%,60%,15 / 17,6 / 10,4 / 5,3 / 4
293,"NEW YORK FERTILITY SERVICES, PC",NEW YORK,NEW YORK,2017,25,26,27,9,12.0%,11.5%,11.1%,0 / 9,0.0%,0.0%,5.1%,1 / 16,0 / 11,0 / 10,9%,8%,22%,3%,8%,10%,36%,13.6%,9.1%,6 / 19,1 / 7
294,NEWAY MEDICAL,NEW YORK,NEW YORK,2017,144,101,103,97,38.9%,24.8%,19.4%,4.1%,1.4%,1.4%,4.4%,3.5%,,1 / 4,3%,28%,51%,1%,2%,14%,15%,26.5%,24.5%,21.9%,15.6%
295,NOBLE FERTILITY CENTER,NEW YORK,NEW YORK,2017,59,21,26,14,44.1%,28.6%,23.1%,0 / 14,2.7%,2.6%,6.3%,2 / 8,,8 / 18,24%,13%,35%,4%,14%,42%,3%,1.4%,7.1%,0.0%,1 / 3
296,NYU LANGONE FERTILITY CENTER,NEW YORK,NEW YORK,2017,296,279,417,224,45.9%,34.4%,24.0%,10.3%,5.5%,8.3%,10.2%,16.1%,52.2%,43.6%,6%,10%,30%,3%,2%,11%,36%,69.5%,69.0%,75.5%,61.5%
297,"OFFICES FOR FERTILITY AND REPRODUCTIVE MEDICINE, PC",NEW YORK,NEW YORK,2017,15,24,10,6,4 / 15,16.7%,0 / 10,1 / 6,8.3%,3.6%,3 / 14,1 / 14,1 / 1,1 / 3,6%,48%,36%,2%,11%,62%,36%,9 / 13,10 / 13,2 / 7,4 / 7
298,"REPRODUCTIVE MEDICINE ASSOCIATES OF NEW YORK, LLP",NEW YORK,NEW YORK,2017,700,532,625,353,56.4%,41.2%,26.4%,12.5%,4.4%,7.3%,9.0%,13.2%,51.1%,41.4%,9%,8%,24%,3%,2%,20%,22%,69.1%,75.1%,71.7%,64.5%
299,TRUENORTH FERTILITY,NEW YORK,NEW YORK,2017,0,0,0,0,,,,,0 / 8,,0 / 5,0 / 1,1 / 1,,7%,0%,21%,0%,0%,29%,0%,0 / 6,,0 / 2,0 / 1
300,WEILL CORNELL MEDICINE,NEW YORK,NEW YORK,2017,858,622,805,525,44.8%,35.2%,24.7%,14.5%,7.7%,9.1%,11.8%,14.0%,54.1%,42.6%,16%,8%,59%,8%,8%,25%,32%,19.7%,21.4%,23.6%,18.8%
301,WESTMED REPRODUCTIVE SERVICES,PURCHASE,NEW YORK,2017,37,32,22,13,78.4%,50.0%,50.0%,3 / 13,0.0%,0.0%,1.7%,2.9%,3 / 6,1 / 2,17%,27%,24%,7%,9%,32%,3%,39.0%,56.1%,29.0%,5 / 12
302,"ROCHESTER FERTILITY CARE, PC",ROCHESTER,NEW YORK,2017,39,14,13,1,43.6%,4 / 14,3 / 13,0 / 1,24.7%,5 / 13,39.1%,1 / 7,5 / 8,3 / 4,11%,21%,21%,25%,3%,42%,28%,12.2%,0 / 3,0 / 10,0 / 6
303,STRONG FERTILITY CENTER,ROCHESTER,NEW YORK,2017,91,37,51,10,48.4%,40.5%,21.6%,1 / 10,3.4%,3.8%,3.0%,20.0%,6 / 14,29.2%,10%,11%,27%,6%,3%,38%,6%,11.6%,17.2%,16.9%,0 / 18
304,"ISLAND REPRODUCTIVE SERVICES, PC",STATEN ISLAND,NEW YORK,2017,127,46,32,27,50.4%,41.3%,31.3%,11.1%,4.2%,8.4%,9.4%,14.0%,,8 / 10,6%,8%,42%,7%,5%,14%,2%,71.9%,73.0%,69.8%,56.5%
305,NEW YORK REPRODUCTIVE WELLNESS,SYOSSET,NEW YORK,2017,33,29,26,9,36.4%,41.4%,34.6%,1 / 9,0.0%,4.7%,0.0%,4.3%,1 / 1,0 / 6,18%,29%,24%,10%,1%,17%,69%,20.0%,13.3%,8.0%,2 / 17
306,CNY FERTILITY CENTER,SYRACUSE,NEW YORK,2017,921,402,355,167,48.9%,34.3%,18.6%,7.8%,5.2%,7.5%,9.8%,10.6%,21.8%,30.4%,13%,22%,23%,9%,5%,21%,20%,6.7%,9.5%,10.2%,11.7%
307,WESTCHESTER FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,WHITE PLAINS,NEW YORK,2017,28,24,20,14,39.3%,29.2%,15.0%,0 / 14,5.1%,12.2%,6.1%,3 / 17,,2 / 5,37%,21%,32%,8%,12%,22%,2%,37.9%,55.0%,22.7%,1 / 6
308,GOLD COAST IVF,WOODBURY,NEW YORK,2017,70,51,41,19,60.0%,37.3%,29.3%,1 / 19,1.3%,1.0%,5.6%,0.0%,12 / 14,0 / 4,14%,12%,41%,5%,3%,39%,8%,16.2%,17.8%,18.0%,23.1%
309,NORTH CAROLINA CENTER FOR REPRODUCTIVE MEDICINE,CARY,NORTH CAROLINA,2017,82,37,33,8,50.0%,40.5%,27.3%,2 / 8,3.8%,5.3%,5.6%,9.1%,6 / 9,68.2%,16%,15%,30%,5%,20%,36%,16%,15.6%,18.6%,25.8%,3 / 7
310,PROGRAM FOR ASSISTED REPRODUCTION AT ATRIUM HEALTH'S CAROLINAS MEDICAL CENTER,CHARLOTTE,NORTH CAROLINA,2017,116,41,40,19,63.8%,43.9%,32.5%,6 / 19,3.1%,5.5%,11.7%,20.0%,7 / 15,9 / 17,12%,23%,12%,5%,3%,31%,20%,18.3%,38.5%,50.8%,5 / 12
311,REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES OF CHARLOTTE,CHARLOTTE,NORTH CAROLINA,2017,258,118,122,50,45.7%,27.1%,25.4%,6.0%,4.5%,8.8%,8.7%,13.4%,6 / 16,48.3%,7%,23%,29%,7%,3%,25%,28%,15.6%,25.2%,25.5%,9.3%
312,DUKE FERTILITY CENTER,DURHAM,NORTH CAROLINA,2017,80,39,41,17,46.3%,30.8%,22.0%,0 / 17,5.8%,8.1%,7.5%,7.4%,,30.4%,15%,20%,25%,10%,5%,40%,11%,6.8%,6.6%,3.8%,1 / 19
313,WOMACK ARMY MEDICAL CENTER,FORT BRAGG,NORTH CAROLINA,2017,51,29,13,8,41.2%,34.5%,3 / 13,0 / 8,0.0%,0.0%,0 / 12,1 / 9,2 / 4,,33%,1%,14%,5%,2%,19%,0%,0.0%,4.5%,0 / 11,0 / 6
314,"ATLANTIC REPRODUCTIVE MEDICINE SPECIALISTS, PA",RALEIGH,NORTH CAROLINA,2017,57,48,20,6,49.1%,33.3%,35.0%,0 / 6,0.9%,2.9%,0.0%,0.0%,,11 / 16,10%,30%,13%,8%,4%,52%,15%,13.7%,22.5%,23.3%,2 / 13
315,"CAROLINA CONCEPTIONS, PA",RALEIGH,NORTH CAROLINA,2017,225,98,61,25,63.6%,39.8%,36.1%,20.0%,5.3%,5.6%,8.5%,11.5%,6 / 8,49.4%,11%,18%,28%,8%,5%,25%,20%,37.2%,37.9%,38.9%,26.3%
316,UNC FERTILITY,RALEIGH,NORTH CAROLINA,2017,140,68,61,20,62.9%,47.1%,31.1%,30.0%,6.9%,12.2%,13.5%,15.4%,7 / 13,7 / 19,12%,12%,15%,5%,2%,32%,10%,6.3%,10.8%,18.8%,1 / 15
317,CAROLINAS FERTILITY INSTITUTE,WINSTON-SALEM,NORTH CAROLINA,2017,105,43,53,16,65.7%,48.8%,45.3%,3 / 16,8.0%,14.3%,13.8%,17.0%,2 / 3,10 / 18,16%,24%,29%,11%,2%,35%,10%,18.2%,37.9%,57.1%,8 / 16
318,WAKE FOREST UNIVERSITY CENTER FOR REPRODUCTIVE MEDICINE,WINSTON-SALEM,NORTH CAROLINA,2017,86,42,34,15,68.6%,50.0%,23.5%,6 / 15,7.1%,8.1%,9.1%,17.1%,3 / 3,6 / 15,12%,14%,23%,7%,3%,31%,41%,26.6%,45.7%,39.6%,9 / 13
319,SANFORD HEALTH REPRODUCTIVE MEDICINE INSTITUTE,FARGO,NORTH DAKOTA,2017,101,38,18,9,39.6%,39.5%,2 / 18,0 / 9,7.9%,13.6%,7.5%,0 / 6,6 / 15,2 / 9,17%,24%,27%,13%,8%,32%,20%,15.0%,24.0%,6 / 18,3 / 5
320,"FERTILITY UNLIMITED, INC.",AKRON,OHIO,2017,13,5,2,1,9 / 13,2 / 5,1 / 2,0 / 1,0 / 16,0 / 8,1 / 7,,,1 / 4,14%,14%,30%,38%,8%,24%,16%,0 / 14,0 / 8,0 / 5,
321,REPRODUCTIVE GYNECOLOGY & INFERTILITY-AKRON,AKRON,OHIO,2017,132,51,33,9,66.7%,35.3%,24.2%,0 / 9,4.7%,5.2%,3.8%,7.5%,1 / 3,65.4%,20%,12%,28%,19%,10%,35%,36%,21.6%,24.2%,26.7%,29.0%
322,CLEVELAND CLINIC FERTILITY CENTER,BEACHWOOD,OHIO,2017,213,85,80,29,62.9%,49.4%,38.8%,20.7%,5.9%,15.0%,14.2%,13.8%,3 / 5,68.2%,9%,14%,23%,7%,4%,38%,34%,5.1%,13.6%,27.0%,23.3%
323,UNIVERSITY HOSPITALS FERTILITY CENTER,BEACHWOOD,OHIO,2017,175,88,64,27,48.0%,26.1%,26.6%,0.0%,16.9%,22.6%,25.6%,37.1%,0 / 1,41.0%,11%,8%,13%,5%,3%,26%,23%,7.8%,11.8%,9.0%,0.0%
324,BETHESDA FERTILITY CENTER,CINCINNATI,OHIO,2017,65,19,16,11,38.5%,5 / 19,5 / 16,1 / 11,9.5%,12.7%,21.9%,6 / 19,,5 / 14,9%,23%,41%,6%,2%,22%,10%,8.5%,13.2%,4.8%,0 / 11
325,INSTITUTE FOR REPRODUCTIVE HEALTH,CINCINNATI,OHIO,2017,379,157,88,20,49.6%,38.9%,35.2%,5.0%,7.9%,13.6%,12.7%,21.1%,8 / 15,33.3%,13%,28%,17%,14%,10%,37%,16%,7.9%,13.0%,17.4%,6.3%
326,OHIO REPRODUCTIVE MEDICINE,COLUMBUS,OHIO,2017,233,118,78,44,50.6%,44.1%,19.2%,11.4%,3.9%,6.7%,7.8%,16.7%,,39.3%,17%,10%,30%,9%,4%,28%,14%,4.6%,4.1%,4.1%,3.4%
327,SPRINGCREEK FERTILITY,DAYTON,OHIO,2017,58,16,21,3,65.5%,7 / 16,23.8%,0 / 3,2.0%,2.7%,2.3%,4 / 11,0 / 2,2 / 4,17%,12%,48%,18%,5%,63%,1%,18.9%,16.3%,17.9%,0 / 2
328,THE FERTILITY WELLNESS INSTITUTE OF OHIO,WEST CHESTER,OHIO,2017,39,13,9,4,38.5%,8 / 13,2 / 9,0 / 4,7.8%,15.4%,4 / 15,4 / 12,,,16%,16%,23%,42%,13%,39%,5%,0.0%,0.0%,0 / 11,0 / 6
329,UC CENTER FOR REPRODUCTIVE HEALTH,WEST CHESTER,OHIO,2017,96,26,22,6,35.4%,30.8%,4.5%,0 / 6,9.8%,18.0%,3 / 18,3 / 14,,1 / 3,16%,28%,22%,7%,4%,49%,26%,8.8%,13.8%,3 / 9,2 / 6
330,REPRODUCTIVE GYNECOLOGY & INFERTILITY-WESTERVILLE,WESTERVILLE,OHIO,2017,107,32,25,5,72.0%,40.6%,24.0%,2 / 5,7.5%,11.3%,10.2%,6.7%,0 / 2,59.1%,10%,19%,25%,4%,14%,26%,10%,29.8%,23.8%,29.6%,6 / 19
331,BENNETT FERTILITY INSTITUTE,OKLAHOMA CITY,OKLAHOMA,2017,165,33,36,9,47.3%,27.3%,19.4%,2 / 9,8.2%,13.0%,8.5%,15.0%,2 / 4,1 / 3,23%,16%,9%,20%,4%,57%,14%,4.6%,8.0%,3.3%,1 / 9
332,OU PHYSICIANS REPRODUCTIVE MEDICINE,OKLAHOMA CITY,OKLAHOMA,2017,107,38,22,3,55.1%,36.8%,13.6%,1 / 3,1.6%,5.7%,6.5%,0 / 12,2 / 6,3 / 4,16%,21%,14%,8%,6%,44%,25%,9.1%,4.7%,5.0%,0 / 12
333,TULSA FERTILITY CENTER,TULSA,OKLAHOMA,2017,158,42,37,5,40.5%,14.3%,16.2%,0 / 5,3.8%,3.1%,5.7%,4.5%,,28.6%,11%,16%,18%,5%,0%,63%,27%,18.7%,19.4%,6 / 12,2 / 10
334,THE FERTILITY CENTER OF OREGON,EUGENE,OREGON,2017,44,22,14,3,52.3%,40.9%,8 / 14,0 / 3,3.5%,2.3%,8.6%,0 / 13,,1 / 4,10%,34%,37%,13%,1%,37%,0%,29.1%,29.3%,48.0%,4 / 7
335,ORM FERTILITY,PORTLAND,OREGON,2017,256,186,174,61,59.4%,39.8%,27.6%,19.7%,6.0%,6.3%,11.9%,7.0%,,75.0%,5%,18%,36%,6%,7%,21%,14%,72.0%,81.5%,84.6%,87.2%
336,UNIVERSITY FERTILITY CONSULTANTS,PORTLAND,OREGON,2017,121,84,83,32,53.7%,47.6%,34.9%,21.9%,6.9%,7.0%,8.9%,10.8%,,47.7%,14%,26%,27%,7%,6%,30%,20%,30.5%,55.3%,63.1%,59.3%
337,"ABINGTON REPRODUCTIVE MEDICINE, ABINGTON IVF AND GENETICS",ABINGTON,PENNSYLVANIA,2017,208,81,79,38,45.7%,32.1%,16.5%,15.8%,3.3%,3.0%,6.3%,14.5%,6 / 13,36.4%,6%,20%,34%,5%,5%,22%,4%,14.0%,22.0%,18.3%,39.3%
338,REPRODUCTIVE MEDICINE ASSOCIATES OF PENNSYLVANIA,ALLENTOWN,PENNSYLVANIA,2017,87,33,19,5,71.3%,48.5%,12 / 19,2 / 5,2.1%,2.2%,2.3%,1 / 13,,81.0%,12%,12%,29%,9%,6%,52%,48%,51.9%,67.3%,73.9%,6 / 6
339,FAMILY FERTILITY CENTER,BETHLEHEM,PENNSYLVANIA,2017,33,14,9,4,63.6%,6 / 14,4 / 9,2 / 4,6.8%,0.0%,14.3%,1 / 14,0 / 2,1 / 3,8%,14%,47%,13%,2%,57%,13%,5.6%,1 / 16,1 / 10,2 / 8
340,MAIN LINE FERTILITY AND REPRODUCTIVE MEDICINE,BRYN MAWR,PENNSYLVANIA,2017,236,146,144,58,46.6%,36.3%,14.6%,12.1%,6.7%,6.2%,8.2%,9.5%,37.5%,36.6%,9%,17%,26%,4%,1%,13%,11%,30.4%,29.8%,37.1%,17.7%
341,GEISINGER MEDICAL CENTER FERTILITY PROGRAM,DANVILLE,PENNSYLVANIA,2017,32,35,16,6,40.6%,17.1%,5 / 16,1 / 6,7.1%,12.1%,5 / 16,2 / 5,1 / 2,2 / 2,10%,13%,30%,8%,0%,25%,13%,5.1%,4.8%,0 / 8,
342,HAN FERTILITY CENTER,HAVERTOWN,PENNSYLVANIA,2017,39,9,16,6,25.6%,2 / 9,1 / 16,0 / 6,17.2%,26.9%,17.4%,0 / 7,0 / 1,0 / 1,15%,17%,25%,4%,8%,22%,21%,16.7%,0 / 8,1 / 11,1 / 3
343,PENN STATE MILTON S. HERSHEY MEDICAL CENTER,HERSHEY,PENNSYLVANIA,2017,38,14,8,1,39.5%,6 / 14,2 / 8,0 / 1,3.2%,14.8%,1 / 17,0 / 4,2 / 3,0 / 2,14%,26%,4%,12%,5%,22%,9%,0.0%,0.0%,0 / 15,0 / 3
344,REPRODUCTIVE MEDICINE ASSOCIATES OF PHILADELPHIA,KING OF PRUSSIA,PENNSYLVANIA,2017,327,167,116,46,48.6%,34.7%,21.6%,17.4%,6.2%,7.2%,10.4%,6.7%,52.5%,34.9%,12%,13%,26%,3%,3%,24%,14%,24.6%,46.9%,49.6%,42.4%
345,SOCIETY HILL REPRODUCTIVE MEDICINE,PHILADELPHIA,PENNSYLVANIA,2017,22,29,3,1,50.0%,13.8%,1 / 3,1 / 1,3.8%,7.5%,3.8%,0 / 8,1 / 2,4 / 5,3%,16%,23%,0%,0%,10%,10%,45.8%,45.0%,3 / 6,0 / 2
346,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PENNSYLVANIA,2017,216,151,171,66,54.6%,47.0%,25.7%,10.6%,7.6%,12.5%,12.1%,7.9%,3 / 5,46.3%,10%,7%,20%,6%,3%,24%,31%,16.7%,13.4%,27.7%,24.6%
347,AHN CENTER FOR REPRODUCTIVE MEDICINE,PITTSBURGH,PENNSYLVANIA,2017,37,18,15,6,29.7%,8 / 18,3 / 15,0 / 6,9.3%,9.3%,15.4%,1 / 16,,1 / 4,12%,5%,22%,5%,3%,33%,36%,8.5%,25.0%,8.3%,3 / 10
348,CENTER FOR FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,PITTSBURGH,PENNSYLVANIA,2017,105,73,40,3,56.2%,30.1%,22.5%,1 / 3,6.6%,9.4%,9.7%,1 / 19,5 / 9,36.4%,8%,12%,16%,8%,<1%,40%,14%,5.6%,10.4%,13.2%,2 / 14
349,UNIVERSITY OF PITTSBURGH PHYSICIANS,PITTSBURGH,PENNSYLVANIA,2017,188,69,59,16,43.1%,37.7%,20.3%,0 / 16,8.3%,11.0%,12.8%,18.4%,3 / 9,38.1%,11%,14%,27%,6%,3%,40%,30%,6.4%,10.6%,8.3%,3.6%
350,SHADY GROVE FERTILITY-PENNSYLVANIA,WAYNE,PENNSYLVANIA,2017,148,87,43,21,58.1%,41.4%,39.5%,19.0%,4.0%,7.2%,6.1%,10.0%,3 / 5,40.2%,10%,15%,36%,7%,3%,17%,20%,25.3%,51.1%,47.0%,17.6%
351,"THE FERTILITY CENTER, LLC",YORK,PENNSYLVANIA,2017,63,14,22,8,36.5%,3 / 14,13.6%,0 / 8,11.6%,10.0%,0 / 15,0 / 6,,0 / 2,10%,16%,9%,0%,1%,22%,7%,0.0%,0.0%,0 / 12,0 / 4
352,"PEDRO J. BEAUCHAMP, MD IVF PROGRAM DBA",BAYAMON,PUERTO RICO,2017,41,32,40,16,43.9%,25.0%,22.5%,1 / 16,0.0%,6.3%,4.2%,14.3%,,1 / 10,34%,16%,8%,20%,17%,52%,47%,11.1%,0.0%,0.0%,0 / 16
353,CLINICA DE FERTILIDAD HIMA-SAN PABLO CAGUAS,CAGUAS,PUERTO RICO,2017,20,11,12,2,15.0%,2 / 11,2 / 12,0 / 2,0 / 12,0 / 13,0 / 6,0 / 3,,0 / 1,30%,19%,24%,5%,0%,38%,0%,0 / 11,0 / 12,0 / 6,0 / 3
354,GREFI,SAN JUAN,PUERTO RICO,2017,13,4,6,3,4 / 13,1 / 4,0 / 6,0 / 3,0 / 8,0 / 9,1 / 11,0 / 4,0 / 2,0 / 1,15%,0%,10%,2%,2%,34%,37%,0 / 6,1 / 4,1 / 7,0 / 4
355,WOMEN & INFANTS FERTILITY CENTER,PROVIDENCE,RHODE ISLAND,2017,153,92,85,48,49.7%,33.7%,30.6%,6.3%,8.0%,7.7%,15.2%,9.5%,44.0%,5 / 14,7%,13%,11%,3%,3%,26%,10%,3.5%,4.1%,4.5%,5.5%
356,FERTILITY CENTER OF THE CAROLINAS,GREENVILLE,SOUTH CAROLINA,2017,74,37,32,1,50.0%,32.4%,28.1%,0 / 1,4.5%,5.9%,8.2%,10.0%,1 / 7,7 / 11,7%,33%,19%,18%,<1%,30%,8%,22.3%,22.5%,24.2%,5 / 12
357,"PIEDMONT REPRODUCTIVE ENDOCRINOLOGY GROUP, PA",GREENVILLE,SOUTH CAROLINA,2017,191,80,61,15,47.6%,40.0%,19.7%,4 / 15,1.4%,1.1%,4.2%,12.1%,3 / 8,32.3%,13%,26%,16%,5%,2%,33%,10%,11.5%,17.3%,12.3%,3 / 19
358,COASTAL FERTILITY SPECIALISTS,MOUNT PLEASANT,SOUTH CAROLINA,2017,166,68,55,15,71.1%,33.8%,45.5%,3 / 15,4.4%,9.8%,4.7%,16.4%,5 / 7,58.1%,12%,8%,28%,7%,<1%,18%,15%,22.0%,23.4%,19.7%,21.6%
359,THE FERTILITY CENTER OF CHARLESTON,MOUNT PLEASANT,SOUTH CAROLINA,2017,37,21,22,2,48.6%,52.4%,27.3%,0 / 2,1.2%,3.2%,0.0%,4.5%,2 / 10,3 / 7,3%,7%,8%,5%,3%,25%,42%,53.3%,43.2%,3 / 9,3 / 11
360,SANFORD WOMEN'S HEALTH,SIOUX FALLS,SOUTH DAKOTA,2017,109,43,20,13,53.2%,32.6%,20.0%,1 / 13,7.2%,13.4%,4.4%,2 / 12,0 / 1,5 / 17,12%,22%,19%,10%,4%,50%,18%,19.6%,32.8%,40.0%,0 / 4
361,"FERTILITY CENTER, LLC",CHATTANOOGA,TENNESSEE,2017,61,22,16,9,47.5%,36.4%,3 / 16,0 / 9,6.0%,3.2%,13.0%,1 / 7,6 / 11,8 / 16,9%,14%,32%,9%,4%,22%,7%,31.0%,33.3%,4 / 7,0 / 3
362,TENNESSEE REPRODUCTIVE MEDICINE,CHATTANOOGA,TENNESSEE,2017,57,24,24,16,61.4%,45.8%,29.2%,2 / 16,6.2%,11.6%,16.7%,2 / 17,3 / 7,5 / 15,13%,6%,8%,15%,2%,28%,43%,28.9%,45.7%,45.0%,1 / 6
363,TENNESSEE FERTILITY INSTITUTE,FRANKLIN,TENNESSEE,2017,10,4,9,2,6 / 10,2 / 4,3 / 9,1 / 2,6.6%,17.9%,6.7%,1 / 11,,1 / 3,9%,8%,25%,6%,0%,17%,0%,6.8%,4 / 11,6 / 14,2 / 4
364,QUILLEN FERTILITY AND WOMEN'S SERVICES,JOHNSON CITY,TENNESSEE,2017,27,10,14,4,55.6%,2 / 10,1 / 14,0 / 4,0.0%,1 / 12,0 / 10,0 / 2,,,15%,8%,4%,12%,0%,37%,12%,0.0%,0 / 11,0 / 9,0 / 2
365,EAST TENNESSEE IVF AND ANDROLOGY CENTER,KNOXVILLE,TENNESSEE,2017,6,3,2,0,2 / 6,1 / 3,0 / 2,,0 / 1,0 / 2,,,,,33%,33%,0%,0%,0%,0%,0%,,0 / 2,,
366,"JEFFREY A. KEENAN, MD DBA",KNOXVILLE,TENNESSEE,2017,16,6,5,0,6 / 16,3 / 6,0 / 5,,7.8%,4.0%,12.5%,0 / 16,,,12%,10%,21%,16%,0%,50%,17%,1.1%,0.0%,0.0%,0 / 15
367,"KUTTEH KE FERTILITY ASSOCIATES OF MEMPHIS, PLLC",MEMPHIS,TENNESSEE,2017,136,36,34,14,65.4%,55.6%,35.3%,0 / 14,11.5%,9.1%,16.5%,17.4%,40.0%,9 / 13,17%,18%,25%,18%,4%,30%,17%,8.1%,16.5%,16.7%,1 / 15
368,REGIONAL ONE HEALTH REPRODUCTIVE MEDICINE,MEMPHIS,TENNESSEE,2017,28,5,17,7,42.9%,4 / 5,3 / 17,0 / 7,1 / 14,0 / 4,1 / 6,0 / 5,,0 / 1,21%,88%,62%,21%,24%,47%,29%,0 / 12,0 / 2,0 / 3,0 / 2
