,Reviews_by_sentence,Clinic,clean_answers
3308, I was sent here by my doctor for a biopsy,Weill Cornell Medicine - Center for Reproductive Medicine,sent doctor biopsy
3309,org/wiki/En…Mine was to evaluate a suspected cancer,Weill Cornell Medicine - Center for Reproductive Medicine,org wiki en … mine evaluate suspect cancer
3310, There was no cancer,Weill Cornell Medicine - Center for Reproductive Medicine,no cancer
3311, This is a very prestigious medical center with the highest level of technology and the most educated physicians,Weill Cornell Medicine - Center for Reproductive Medicine,prestigious medical center high level technology educate physician
3312, They also do the most complete job of testing that I have had at any hospital! The tests they did were very extensive and complete,Weill Cornell Medicine - Center for Reproductive Medicine,also complete job testing hospital test extensive complete
3313, They rule out everything so you will get a diagnosis here if you need  one,Weill Cornell Medicine - Center for Reproductive Medicine,rule everything get diagnosis need one
3314, However the biopsy was given to me without pain killers! I asked for pain killers they said no we don't give them for this procedure,Weill Cornell Medicine - Center for Reproductive Medicine,however biopsy given without pain killer ask pain killer say no not give procedure
3315,  I asked if it would hurt,Weill Cornell Medicine - Center for Reproductive Medicine,ask would hurt
3316,( I thought it might be like a pap smear or a cervical biopsy which is quick and it is only mildly painful if you get a good doctor,Weill Cornell Medicine - Center for Reproductive Medicine,thought might like pap smear cervical biopsy quick mildly painful get good doctor
3317,") (because otherwise why don't they give pain killers?)The doctor who performed it said it only feels like ""a pinch"", you don't need anesthesia",Weill Cornell Medicine - Center for Reproductive Medicine,"otherwise not give pain killer ?) doctor perform say feel like pinch "", not need anesthesia"
3318," Well if someone ""pinched"" the doctor who said that in the same way with the same amount of pain he would be screaming in pain and crying for it to stop! Infertile women are sometimes willing to endure whatever torture they have to to get that coveted baby prize",Weill Cornell Medicine - Center for Reproductive Medicine,well someone pinch doctor say way amount pain would screaming pain crying stop infertile woman sometimes willing endure whatever torture get covet baby prize
3319, But I have no such issue and this was unbearably painful!I would have gladly paid for some pain killers with cash,Weill Cornell Medicine - Center for Reproductive Medicine,no issue unbearably painful would gladly pay pain killer cash
3320, But they said I could not! So much of women's health care is behind the times and lacks any direct care of the woman as a feeling whole individual,Weill Cornell Medicine - Center for Reproductive Medicine,say could not much woman ' health care behind times lack direct care woman feeling whole individual
3321, Maybe all medical centers who do this biopsy do it without pain killers,Weill Cornell Medicine - Center for Reproductive Medicine,maybe medical center biopsy without pain killer
3322, I don't know,Weill Cornell Medicine - Center for Reproductive Medicine,not know
3323, Since this is one of the top in the country I suspect they all do it without pain killers,Weill Cornell Medicine - Center for Reproductive Medicine,since one top country suspect without pain killer
3324, So it is not unique to this center,Weill Cornell Medicine - Center for Reproductive Medicine,not unique center
3325, But since it is my experience with this I need to post it so you will know what you are getting yourself into,Weill Cornell Medicine - Center for Reproductive Medicine,since experience need post know getting
3326, It is probably the best of it's kind,Weill Cornell Medicine - Center for Reproductive Medicine,probably best kind
3327, But women's health care needs to advance so that the patients pain level is taken into consideration,Weill Cornell Medicine - Center for Reproductive Medicine,woman ' health care need advance patient pain level take consideration
3328, All I know is I won't be going back for any reason and  if you are willing to endure this then it is  a clean prestigious medical facility,Weill Cornell Medicine - Center for Reproductive Medicine,know not going back reason willing endure clean prestigious medical facility
3329,Dr Pak Chung at Weill Cornell Reproductive Center is hands down the best fertility doctor in NYC,Weill Cornell Medicine - Center for Reproductive Medicine,dr pak chung weill cornell reproductive center hands best fertility doctor nyc
3330,"  Not only is he empirically and statistically successful in what he does, he is kind, caring, patient, respectful, trustworthy, incredibly empathetic and is exactly who you want to care for you during this highly complicated and emotional process",Weill Cornell Medicine - Center for Reproductive Medicine,not empirically statistically successful kind caring patient respectful trustworthy incredibly empathetic exactly want care highly complicate emotional process
3331,"  He is so hands on that he will personally call you at every pivotal step of your process and will continue to call if he cannot get ahold of you, which surprisingly isn't standard protocol",Weill Cornell Medicine - Center for Reproductive Medicine,hands personally call every pivotal step process continue call cannot get ahold surprisingly not standard protocol
3332,"  He is immensely patient and will answer all of your questions with pure medical objectivity, no matter how small or redundant, until you are satisfied",Weill Cornell Medicine - Center for Reproductive Medicine,immensely patient answer question pure medical objectivity no matter small redundant satisfy
3333,  I have never been rushed out of his care nor encouraged to make a decision that is not the best for me emotionally or financially,Weill Cornell Medicine - Center for Reproductive Medicine,never rush care encourage make decision not best emotionally financially
3334,Dr Chung also manages a team who carries his same philosophy throughout every step of the process,Weill Cornell Medicine - Center for Reproductive Medicine,dr chung also manage team carry philosophy throughout every step process
3335,"  Every single person on his staff from his nurses (Juliana), to his billing dept (Arlene), to his assistants (Joy & Alice), are smart, helpful, diligent and always have a positive attitude",Weill Cornell Medicine - Center for Reproductive Medicine,"every single person staff nurse juliana ), billing dept arlene ), assistant joy & alice ), smart helpful diligent always positive attitude"
3336,  Juliana would go out of her way to help me find the best prices for my drugs and Arlene went above and beyond to help me sort out my billing with my insurance company,Weill Cornell Medicine - Center for Reproductive Medicine,juliana would go way help find best price drug arlene go beyond help sort billing insurance company
3337,"  I can't tell you how nice it is to be surrounded by people who actually want to be helpful in this process!  This, in any industry, is highly abnormal",Weill Cornell Medicine - Center for Reproductive Medicine,cannot tell nice surround people actually want helpful process industry highly abnormal
3338,"I have yet to be successful in my IVF journey and am going in for my 3rd round, Dr Chung is the only reason I continue to have optimism for this process",Weill Cornell Medicine - Center for Reproductive Medicine,yet successful ivf journey going 3rd round dr chung reason continue optimism process
3339,  He and his team are so wonderful that I truly look forward to my appointments,Weill Cornell Medicine - Center for Reproductive Medicine,team wonderful truly look forward appointment
3340,  No one should endure this process without a doctor like Dr Chung,Weill Cornell Medicine - Center for Reproductive Medicine,no one endure process without doctor like dr chung
3341,If I could give them zero stars I would,Weill Cornell Medicine - Center for Reproductive Medicine,could give zero star would
3342,  These clowns sent a debt collector after me for an $8 bill that I paid!   What they do is criminal,Weill Cornell Medicine - Center for Reproductive Medicine,clown sent debt collector $ 8 bill pay criminal
3343,  What a bunch of low life's,Weill Cornell Medicine - Center for Reproductive Medicine,bunch low life '
3344,  Their OR facilities look like a bus stop that hasn't been updated in 50 years,Weill Cornell Medicine - Center for Reproductive Medicine,facility look like bus stop not update 50 years
3345,  Find someone else for your healthcare needs,Weill Cornell Medicine - Center for Reproductive Medicine,find someone else healthcare need
3346,  Or find a good malpractice attorney because you probably will have some use for one,Weill Cornell Medicine - Center for Reproductive Medicine,find good malpractice attorney probably use one
3347,Weill Cornell Reproductive Center was the worst decision my husband and I ever made,Weill Cornell Medicine - Center for Reproductive Medicine,weill cornell reproductive center worst decision husband ever make
3348," Appointments were rushed and felt impersonal, the doctors failed to diagnose us correctly and I experienced a terrible medical mishap which could have been avoided",Weill Cornell Medicine - Center for Reproductive Medicine,appointment rush felt impersonal doctor fail diagnose us correctly experience terrible medical mishap could avoid
3349, Staff was downright rude and even aggressive definitely making a stressful situation even more stressful,Weill Cornell Medicine - Center for Reproductive Medicine,staff downright rude even aggressive definitely making stressful situation even stressful
3350, There was a new batch of nurses who started working there a few months into our treatment,Weill Cornell Medicine - Center for Reproductive Medicine,new batch nurse start working month treatment
3351, I am not sure where they came from but they acted more like drill sergeants rather than health care professionals,Weill Cornell Medicine - Center for Reproductive Medicine,not sure come act like drill sergeant rather health care professional
3352, They seemed unhappy at their job and definitely took it out on the patients,Weill Cornell Medicine - Center for Reproductive Medicine,seem unhappy job definitely take patient
3353," Never a smile, completely ignoring questions and acting as if they do not hear you, talking down at patients and made me feel like I was interrupting their day with my appointment and am a huge inconvenience",Weill Cornell Medicine - Center for Reproductive Medicine,never smile completely ignore question acting not hear talking patient make feel like interrupt day appointment huge inconvenience
3354," These are the same people who stick a needle into you so I never said anything, but I regret it and I hope someone from Weill Cornell reads my review",Weill Cornell Medicine - Center for Reproductive Medicine,people stick needle never say anything regret hope someone weill cornell read review
3355, They definitely need sensitivity training or a punch in the face,Weill Cornell Medicine - Center for Reproductive Medicine,definitely need sensitivity training punch face
3356,"  At one point we changed our insurance during treatment and decided to use a different doctor who is in network, we were told if we make this change we can never go back to the previous doctor which was strange and felt like a threat",Weill Cornell Medicine - Center for Reproductive Medicine,one point change insurance treatment decide use different doctor network tell make change never go back previous doctor strange felt like threat
3357," We waited to start our treatment with the new doctor at Weill Cornell based on the insurance information which was provided to us by the Reproductive Center, only to find out that the new doctor doesn't take our insurance after all and is out of network",Weill Cornell Medicine - Center for Reproductive Medicine,wait start treatment new doctor weill cornell base insurance information provide us reproductive center find new doctor not take insurance network
3358," At that point we realized we were making a big mistake and we were just wasting our precious time and money, did our research and based on national SART information decided to go with RMA for further treatment",Weill Cornell Medicine - Center for Reproductive Medicine,point realize making big mistake wasting precious time money research base national sart information decide go rma treatment
3359," We could not be happier with that decision, we were diagnosed a few weeks after our first visit to RMA and conceived a few months later",Weill Cornell Medicine - Center for Reproductive Medicine,could not happy decision diagnose week first visit rma conceive month later
3360," Meanwhile I was still getting mail from Weill Cornell asking me to donate money to their Reproductive Center, pathetic",Weill Cornell Medicine - Center for Reproductive Medicine,meanwhile still getting mail weill cornell asking donate money reproductive center pathetic
3361, Please save yourself the heartache and just don't go here,Weill Cornell Medicine - Center for Reproductive Medicine,please save heartache not go
3362,Their billing department is a mess and their nurses don't reply your calls,Weill Cornell Medicine - Center for Reproductive Medicine,billing department mess nurse not reply call
3363, Worst services ever! Don't ever go there!,Weill Cornell Medicine - Center for Reproductive Medicine,worst services ever not ever go
3364,[Just gonna put this up at the top here because I keep getting PMs about it: the clinic that eventually helped me have a baby was Sher Institute,Weill Cornell Medicine - Center for Reproductive Medicine,[ gonna put top keep getting pms : clinic eventually help baby sher institute
3365, They are very nice there and never made me cry,Weill Cornell Medicine - Center for Reproductive Medicine,nice never make cry
3366," However, they are still a fertility clinic so they will still send you giant bills",Weill Cornell Medicine - Center for Reproductive Medicine,however still fertility clinic still send giant bill
3367,"] Downgrading to one star because, more than a year after I stopped going there, I am STILL receiving bills from these jerks",Weill Cornell Medicine - Center for Reproductive Medicine,] downgrade one star year stop going still receive bill jerk
3368," Since I stopped seeing them I've gone to another clinic (Sher fertility! You don't need to PM me! I'm telling you right here!), had two rounds of IVF, gotten pregnant, HAD A BABY, and begun to raise him",Weill Cornell Medicine - Center for Reproductive Medicine,"since stop seeing ' go another clinic sher fertility not need pm ' telling right !), two round ivf get pregnant baby begin raise"
3369,"and these jerks are still sending me bills for tests they performed 16 months ago, that they claim my insurance wouldn't cover",Weill Cornell Medicine - Center for Reproductive Medicine,jerk still sending bill test perform 16 month ago claim insurance would not cover
3370,"They are thieves and crooks and, even worse, ineffective",Weill Cornell Medicine - Center for Reproductive Medicine,thief crook even worse ineffective
3371," Seriously, avoid!(And, for a third time, the clinic where I later had success was Sher Institute of Reproductive Medicine",Weill Cornell Medicine - Center for Reproductive Medicine,seriously avoid !( third time clinic later success sher institute reproductive medicine
3372, I review them on Yelp as well,Weill Cornell Medicine - Center for Reproductive Medicine,review yelp well
3373," I know how tough it is finding a good clinic, and I wish you all the luck in the world",Weill Cornell Medicine - Center for Reproductive Medicine,know tough finding good clinic wish luck world
3374,Couldn't agree more with what Anna said- her review is spot on,Weill Cornell Medicine - Center for Reproductive Medicine,could not agree anna say review spot
3375, It's a tough place to be when you have to pursue this type of treatment,Weill Cornell Medicine - Center for Reproductive Medicine,tough place pursue type treatment
3376," Incredibly emotional, draining (mentally, physically and financially) and dealing with Cornell just makes an already difficult and stressful process even more difficult and stressful",Weill Cornell Medicine - Center for Reproductive Medicine,incredibly emotional drain mentally physically financially dealing cornell make already difficult stressful process even difficult stressful
3377,I spent a year at Cornell doing various procedures,Weill Cornell Medicine - Center for Reproductive Medicine,spend year cornell various procedure
3378,"  During my IVF cycle, I passed hands frequently to the point of receiving conflicting information on numerous occasions",Weill Cornell Medicine - Center for Reproductive Medicine,ivf cycle pass hands frequently point receive conflict information numerous occasions
3379, My doctor was always rushed; I never felt comfortable asking questions b/c he was literally always running out the door (probably to deal with the 100+ women sitting in the waiting room),Weill Cornell Medicine - Center for Reproductive Medicine,doctor always rush ; never felt comfortable asking question b c literally always running door probably deal 100 + woman sitting waiting room
3380, A year of treatment and I found myself having to remind him about specifics of my case,Weill Cornell Medicine - Center for Reproductive Medicine,year treatment found remind specific case
3381," I also ran into him outside the office on the street, he had no idea what my name was after seeing me that long",Weill Cornell Medicine - Center for Reproductive Medicine,also run outside office street no idea name seeing long
3382,  Don't expect to get personalized care and attention here,Weill Cornell Medicine - Center for Reproductive Medicine,not expect get personalize care attention
3383, You're just a number,Weill Cornell Medicine - Center for Reproductive Medicine,number
3384, You can never reach your doctor,Weill Cornell Medicine - Center for Reproductive Medicine,never reach doctor
3385, You can only call and leave a message and you better be waiting by your phone (I literally took my phone into bathroom stalls like a freak for fear of missing calls with follow up instructions) - because you will never get anyone to call you back,Weill Cornell Medicine - Center for Reproductive Medicine,call leave message better waiting phone literally take phone bathroom stalls like freak fear miss call follow instructions never get anyone call back
3386,"Unlike most clinics, they don't do anything electronically, hence why you have to stalk your phone",Weill Cornell Medicine - Center for Reproductive Medicine,unlike clinic not anything electronically hence stalk phone
3387, Or call them repeatedly,Weill Cornell Medicine - Center for Reproductive Medicine,call repeatedly
3388, It's absurd they still operate like this when any other clinic supports electronic communication,Weill Cornell Medicine - Center for Reproductive Medicine,absurd still operate like clinic support electronic communication
3389, There is not a lot of transparency in their processes,Weill Cornell Medicine - Center for Reproductive Medicine,not lot transparency process
3390, Don't expect to get a lot of stats,Weill Cornell Medicine - Center for Reproductive Medicine,not expect get lot stats
3391," If you go on BBC, you'll see you don't have information that other women going through cycles have",Weill Cornell Medicine - Center for Reproductive Medicine,go bbc shall see not information woman going cycle
3392, The worst aspect is their billing department,Weill Cornell Medicine - Center for Reproductive Medicine,worst aspect billing department
3393," I encountered every issue possible there - overpaying out of pocket, being double billed when I changed plans, being over treated (which resulted in excessive costs), misquoted prices, bills sent to collections when I had outstanding credit balances with them (for being overcharged for services insurance covered)",Weill Cornell Medicine - Center for Reproductive Medicine,"encounter every issue possible overpay pocket double bill change plan treat result excessive costs ), misquote price bill sent collection outstanding credit balance overcharge services insurance cover"
3394, In April I am now receiving bills for services in November,Weill Cornell Medicine - Center for Reproductive Medicine,april receive bill services november
3395, They are totally incompetent and ruthless vultures,Weill Cornell Medicine - Center for Reproductive Medicine,totally incompetent ruthless vulture
3396, I'm surprised I didn't get billed for the toilet paper I used when I peed there,Weill Cornell Medicine - Center for Reproductive Medicine,' surprise not get bill toilet paper use pee
3397," Sure, they have good stats, but it's just not worth it",Weill Cornell Medicine - Center for Reproductive Medicine,sure good stats not worth
3398,Wonderful experience,Weill Cornell Medicine - Center for Reproductive Medicine,wonderful experience
3399, After going to another center for a while I finally came across CRM,Weill Cornell Medicine - Center for Reproductive Medicine,going another center finally come across crm
3400, ALL of the nurses were super kind and caring,Weill Cornell Medicine - Center for Reproductive Medicine,nurse super kind caring
3401, Treated youlike a person and not a patient,Weill Cornell Medicine - Center for Reproductive Medicine,treat youlike person not patient
3402, Dr Schattman was AMAZING,Weill Cornell Medicine - Center for Reproductive Medicine,dr schattman amaze
3403, Can't rave enough about them and I have other places to compare them too,Weill Cornell Medicine - Center for Reproductive Medicine,cannot rave enough place compare
3404, I have an amazing baby boy and we owe it all to CRM!,Weill Cornell Medicine - Center for Reproductive Medicine,amaze baby boy owe crm
3405,I have not been to this clinic since June 2016,Weill Cornell Medicine - Center for Reproductive Medicine,not clinic since june 2016
3406, Just received an EOB from my insurance saying Cornell submitted a claim in October 2017 for $1500 for my HCG,Weill Cornell Medicine - Center for Reproductive Medicine,receive eob insurance saying cornell submit claim october 2017 $ 1500 hcg
3407,  I was already billed for this procedure and my insurance  paid the claim last June,Weill Cornell Medicine - Center for Reproductive Medicine,already bill procedure insurance pay claim last june
3408," Seriously??? Luckily, my insurance denied this year and a half old claim",Weill Cornell Medicine - Center for Reproductive Medicine,seriously ??? luckily insurance deny year half old claim
3409, Worst place ever,Weill Cornell Medicine - Center for Reproductive Medicine,worst place ever
3410,  Stay away!!!,Weill Cornell Medicine - Center for Reproductive Medicine,stay away !!!
3411,Everyone I worked with was caring and compassionate,Weill Cornell Medicine - Center for Reproductive Medicine,everyone work caring compassionate
3412," I was really nervous, but had the absolutely best outcome",Weill Cornell Medicine - Center for Reproductive Medicine,really nervous absolutely best outcome
3413, The upside of them treating a lot of women is that they have seen it all and likely know exactly which protocol is best for you,Weill Cornell Medicine - Center for Reproductive Medicine,upside treat lot woman see likely know exactly protocol best
3414, And complications are rare,Weill Cornell Medicine - Center for Reproductive Medicine,complication rare
3415," They are one of the best in the world, if not the best",Weill Cornell Medicine - Center for Reproductive Medicine,one best world not best
3416,"Unfortunately we have to Echo the comments of  the other reviewersCame here because of the doctor rating (the doctors are very good) but the staff seems to be skilled at finding new ways to make a stressful process even more nerve rackingI can't say that there has been poor communication as there really has not been any! What's  the point of a coordinator who never reaches out,  helps you with next steps, etc Oh, and some of them are also rude,  so there's that too",Weill Cornell Medicine - Center for Reproductive Medicine,unfortunately echo comment reviewerscame doctor rating doctor good staff seem skilled finding new ways make stressful process even nerve rackingi cannot say poor communication really not point coordinator never reach help next steps etc oh also rude
3417, Good at making you feel stupid and like a trespasser,Weill Cornell Medicine - Center for Reproductive Medicine,good making feel stupid like trespasser
3418, So for us we will switch to a place that doesn't waste our precious time,Weill Cornell Medicine - Center for Reproductive Medicine,us switch place not waste precious time
3419,My doctor in Florida used to work at this office,Weill Cornell Medicine - Center for Reproductive Medicine,doctor florida use work office
3420, He suggested when I move to the upper east side that I should come start seeing his old colleagues there,Weill Cornell Medicine - Center for Reproductive Medicine,suggest move upper east side come start seeing old colleague
3421, Unfortunately they refused to see me stating if I wasn't trying to get pregnant I can't come to the office,Weill Cornell Medicine - Center for Reproductive Medicine,unfortunately refuse see state not try get pregnant cannot come office
3422, I explained my situation and said they would need to get special approval from the doctor himself,Weill Cornell Medicine - Center for Reproductive Medicine,explain situation say would need get special approval doctor
3423, They said they would call me back,Weill Cornell Medicine - Center for Reproductive Medicine,say would call back
3424, It's been about 5 months and I haven't heard back I've decided I'll just see someone else,Weill Cornell Medicine - Center for Reproductive Medicine,5 month not hear back ' decide ' see someone else
3425,I went to Weil Cornell because wanted to get a second opinion on whether a polyp was worth removing before having IVF,Weill Cornell Medicine - Center for Reproductive Medicine,go weil cornell want get second opinion whether polyp worth remove ivf
3426," It was a misery all around, which came as a surprise because I know several women who had successful pregnancies here",Weill Cornell Medicine - Center for Reproductive Medicine,misery around come surprise know several woman successful pregnancy
3427," At the time of appointment, they said they accepted my insurance",Weill Cornell Medicine - Center for Reproductive Medicine,time appointment say accept insurance
3428," When I got the EOB and bill, it said that the doctor was not an in-network doctor",Weill Cornell Medicine - Center for Reproductive Medicine,get eob bill say doctor not network doctor
3429," What kind of gotcha is that, to say you take the insurance because technically, you can bill the insurance, but you're not actually an in-network provider?2",Weill Cornell Medicine - Center for Reproductive Medicine,kind gotcha say take insurance technically bill insurance not actually network provider 2
3430," I missed my window for getting the images I needed to take with me for the 2nd opinion, so I called to cancel the appointment",Weill Cornell Medicine - Center for Reproductive Medicine,miss window getting image need take 2nd opinion call cancel appointment
3431, They said I should keep the appointment because the doctor would want to have background,Weill Cornell Medicine - Center for Reproductive Medicine,say keep appointment doctor would want background
3432, I pointed out I wouldn't have anything for him to look at - they said go ahead and keep the appointment,Weill Cornell Medicine - Center for Reproductive Medicine,point would not anything look say go ahead keep appointment
3433, I get there and the doctor basically starts doing intake as if I was going to do IVF with him,Weill Cornell Medicine - Center for Reproductive Medicine,get doctor basically start intake going ivf
3434," I stopped him mid-way and said I'm here for this second opinion, and he said well of course he can give a second opinion, but he has nothing to look at",Weill Cornell Medicine - Center for Reproductive Medicine,stop mid way say ' second opinion say well course give second opinion nothing look
3435," I tell him what day I am in the cycle, and he says well, let's take a look - and then after the exam, he says he couldn't see anything because it's the wrong part of the cycle",Weill Cornell Medicine - Center for Reproductive Medicine,tell day cycle say well let us take look exam say could not see anything wrong part cycle
3436, Note this is AFTER I told him what day in the cycle I was,Weill Cornell Medicine - Center for Reproductive Medicine,note tell day cycle
3437, Says to come back at the right part of the cycle,Weill Cornell Medicine - Center for Reproductive Medicine,say come back right part cycle
3438," So then I go back (why? why?) at the right part of the cycle, and he says ""why are you here if you're not doing IVF with me?"" and I'm like because I asked you for an opinion on this growth, and you said to come back and you would do the exam?!?  He then goes, of course, I'm a doctor and I can give you an opinion on this - and then AFTER he does the exam says, practically anyone can look at this thing and remove it if it needs to be removed, so you should just go back to your doctor",Weill Cornell Medicine - Center for Reproductive Medicine,"go back ?) right part cycle say not ivf ?"" ' like ask opinion growth say come back would exam ?!? go course ' doctor give opinion exam say practically anyone look thing remove need remove go back doctor"
3439," OMG - was he unfamiliar with the meaning of ""second opinion""? If he didn't want to accept a patient looking for a second opinion, he could have a) said so to begin with, or b) said so at the first totally unnecessary sales pitch meeting, or c) not suggested making an appointment for the exam, or EVEN d) expressed his so very helpful post-exam opinion before doing the exam! What is this, a used car lot?5",Weill Cornell Medicine - Center for Reproductive Medicine,"omg unfamiliar meaning second opinion ""? not want accept patient looking second opinion could say begin b say first totally unnecessary sales pitch meeting c not suggest making appointment exam even express helpful post exam opinion exam use car lot 5"
3440," In all of this, the wait time at the place was an hour each time",Weill Cornell Medicine - Center for Reproductive Medicine,wait time place hour time
3441," I said to the ladies behind the desk, is this normal for appointments to run late, and they said, yes - totally normal to wait up to a *couple* hours",Weill Cornell Medicine - Center for Reproductive Medicine,say lady behind desk normal appointment run late say yes totally normal wait couple hours
3442, Are you kidding me,Weill Cornell Medicine - Center for Reproductive Medicine,kid
3443," At my ""regular"" reproductive endo, I've never waited longer than about 20 minutes, and that was once or twice out of many many visits",Weill Cornell Medicine - Center for Reproductive Medicine,regular reproductive endo ' never wait longer 20 minutes twice many many visit
3444," I just have to circle back to #1 at this point - because it really came as adding insult to injury when I got the bill, showing that he's not even an in-network doctor",Weill Cornell Medicine - Center for Reproductive Medicine,circle back # 1 point really come add insult injury get bill showing not even network doctor
3445,I got pregnant here on the first try and thought the experience was just fine ,Weill Cornell Medicine - Center for Reproductive Medicine,get pregnant first try thought experience fine
3446, The nurses were great ,Weill Cornell Medicine - Center for Reproductive Medicine,nurse great
3447, They call you everyday and write back immediately when you have questions ,Weill Cornell Medicine - Center for Reproductive Medicine,call everyday write back immediately question
3448, It's a little tough to get a hold of a doctor ,Weill Cornell Medicine - Center for Reproductive Medicine,little tough get hold doctor
3449, But as long as my needs are met then I'm satisfied ,Weill Cornell Medicine - Center for Reproductive Medicine,long need meet ' satisfy
3450," Everyone has their own experiences , and everyone is different ",Weill Cornell Medicine - Center for Reproductive Medicine,everyone experience everyone different
3451, So try a few places and see what's best ,Weill Cornell Medicine - Center for Reproductive Medicine,try place see best
3452," I have friends who went to other places that's also ""the best"" and did not get pregnant ",Weill Cornell Medicine - Center for Reproductive Medicine,friend go place also best not get pregnant
3453, No case is alike,Weill Cornell Medicine - Center for Reproductive Medicine,no case alike
3454,Went here because they are rated one of the best in the country,Weill Cornell Medicine - Center for Reproductive Medicine,go rate one best country
3455, However had one of the worst experiences,Weill Cornell Medicine - Center for Reproductive Medicine,however one worst experience
3456, NPs or PAs  will do your iuis ,Weill Cornell Medicine - Center for Reproductive Medicine,np pas iuis
3457, Not a doctor 2,Weill Cornell Medicine - Center for Reproductive Medicine,not doctor 2
3458, They will NOT help you out at all with insurance,Weill Cornell Medicine - Center for Reproductive Medicine,not help insurance
3459, I paid out of pocket for many meds that were actually covered,Weill Cornell Medicine - Center for Reproductive Medicine,pay pocket many med actually cover
3460, Not until I switched to RMA and a coordinator sat with me and I found out I just had to do mail away3,Weill Cornell Medicine - Center for Reproductive Medicine,not switch rma coordinator sat found mail away3
3461, Billing is beyond a nightmare ,Weill Cornell Medicine - Center for Reproductive Medicine,billing beyond nightmare
3462," Like other reviews I was referred to a collection agency because i had not paid a bill I had literally called 6 times about! They billed me for an out of doctor and no one could give me an answer just ""we are not sure where the mistake occurred"" they said they would investigate and call me back but never did! I'm still getting new bills from August and it is now mid May ",Weill Cornell Medicine - Center for Reproductive Medicine,like review refer collection agency not pay bill literally call 6 times bill doctor no one could give answer not sure mistake occur say would investigate call back never ' still getting new bill august mid may
3463, Only one star for dr ,Weill Cornell Medicine - Center for Reproductive Medicine,one star dr
3464," He was good, but definitely didn't remember me ",Weill Cornell Medicine - Center for Reproductive Medicine,good definitely not remember
3465, Way too many patients Go to RMANY I switched and couldn't be happier ,Weill Cornell Medicine - Center for Reproductive Medicine,way many patient go rmany switch could not happy
3466, So transparent about billing and potential costs ,Weill Cornell Medicine - Center for Reproductive Medicine,transparent billing potential costs
3467," Call in all meds at start of cycle and my Ivf coordinator, the billing department AND doctor responded to all my questions via email or phone within hours! Way less stressful, which is what you need during this very difficult process!",Weill Cornell Medicine - Center for Reproductive Medicine,call med start cycle ivf coordinator billing department doctor respond question via email phone within hours way le stressful need difficult process
3468,A waste of time and money on all fronts!- Always long lines,Weill Cornell Medicine - Center for Reproductive Medicine,waste time money front !- always long line
3469,"-You can't reach your doctor by phone; you can only leave a message to an assistant and, if you called early morning and if you are lucky enough, you may receive a call back from a nurse or an assistant the same day but never from a doctor",Weill Cornell Medicine - Center for Reproductive Medicine,cannot reach doctor phone ; leave message assistant call early morning lucky enough may receive call back nurse assistant day never doctor
3470,"- You can't reach your doctor even if you have an emergency- My insurance covers lab tests, but their blood tests were not covered because they don't send your tests to a lab - they do them in-house! Nobody ever explained me that",Weill Cornell Medicine - Center for Reproductive Medicine,cannot reach doctor even emergency insurance cover lab test blood test not cover not send test lab house nobody ever explain
3471," I had about 10 tests within a month and, eventually had to pay $300 our of my pocket (while it would have been free at many other places)- Two times they made a mistake in taking the right blood test",Weill Cornell Medicine - Center for Reproductive Medicine,10 test within month eventually pay $ 300 pocket would free many place )- two times make mistake taking right blood test
3472," They took it once, and then a  few minutes later (while I was still there waiting for the u/s), said they had to take more blood",Weill Cornell Medicine - Center for Reproductive Medicine,"take minutes later still waiting u ), say take blood"
3473,"- You can't set up an appointment digitally, you can't communicate via email and you can't receive your medical results online",Weill Cornell Medicine - Center for Reproductive Medicine,cannot set appointment digitally cannot communicate via email cannot receive medical result online
3474, They do not use Weil Connect (the rest of the Medical center does)- It's been a month since I'm waiting for my medical records,Weill Cornell Medicine - Center for Reproductive Medicine,not use weil connect rest medical center )- month since ' waiting medical record
3475," First, my primary care doctor sent a request (mid-June), then I did it on 7/15",Weill Cornell Medicine - Center for Reproductive Medicine,"first primary care doctor sent request mid june ), 7 15"
3476, Twice they told me that a person responsible for my request was not in the office and asked to call back the next day,Weill Cornell Medicine - Center for Reproductive Medicine,twice tell person responsible request not office ask call back next day
3477, Now they are saying they are waiting for a doctor's signature to release the records,Weill Cornell Medicine - Center for Reproductive Medicine,saying waiting doctor ' signature release record
3478," In the meantime, my other treatments are postponed because I can't bring the medical records",Weill Cornell Medicine - Center for Reproductive Medicine,meantime treatment postpone cannot bring medical record
3479,"The whole experience with Weil Cornell was terrible , unfortunately",Weill Cornell Medicine - Center for Reproductive Medicine,whole experience weil cornell terrible unfortunately
3480, They have a poor customer service and they don't care about their patients at all,Weill Cornell Medicine - Center for Reproductive Medicine,poor customer service not care patient
3481,I had the same experience as the other reviewers,Weill Cornell Medicine - Center for Reproductive Medicine,experience reviewer
3482, I have given up on this place and am now looking for a different doctor,Weill Cornell Medicine - Center for Reproductive Medicine,given place looking different doctor
3483," I really like the doctors (hence 2 stars), but dealing with their incompetent administrative assistants is a grueling experience and causes all sorts of problems in actually getting treated",Weill Cornell Medicine - Center for Reproductive Medicine,"really like doctor hence 2 star ), dealing incompetent administrative assistant grueling experience cause sort problem actually getting treat"
3484, No one would call me with the results of procedures and next steps,Weill Cornell Medicine - Center for Reproductive Medicine,no one would call result procedure next steps
