,PrevClinName1,ClinCityCode,Year,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,TotCycles,TotFrozTrans,AvgCancel,AvgFreshBR,AvgFrozenBR,AvgNumFrshEmbry,AvgNumThwEmbry
4499,FERTILITY AND ADVANCED REPRODUCTIVE MEDICINE,DALLAS,2010.0,24.0,6,12,3,20.8,33.333333333333336,8.333333333333334,0.0,20.8,16.666666666666668,25.0,66.66666666666667,25.0,50.0,0.0,100.0,4.0,4,0,1,25.0,14.0,22.0,9.0,3.0,10.0,0.0,1.8,1.8,2.1,3.0,0.0,0.0,0.0,0.0,45.0,9.0,32.28333333333333,15.616666666666669,43.75,2.175,0.0
4500,"FERTILITY SPECIALISTS OF TEXAS, PLLC",DALLAS,2010.0,61.0,19,19,10,57.4,42.10526315789474,21.05263157894737,40.0,8.2,26.31578947368421,21.05263157894737,20.0,0.0,100.0,0.0,0.0,0.0,1,0,0,21.0,12.0,7.0,2.0,0.0,22.0,5.0,2.0,2.1,2.4,3.3,0.0,0.0,0.0,0.0,109.0,1.0,18.892105263157895,40.13947368421053,25.0,2.45,0.0
4501,IVF INSTITUTE,DALLAS,2010.0,13.0,2,6,6,53.84615384615385,50.0,33.333333333333336,0.0,0.0,0.0,50.0,16.666666666666668,0.0,0.0,100.0,0.0,1.0,1,1,0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,2.0,1.5,2.7,5.0,0.0,0.0,0.0,0.0,27.0,3.0,16.666666666666668,34.294871794871796,25.0,2.8,0.0
4502,REPROMED FERTILITY CENTER,DALLAS,2010.0,20.0,4,10,0,55.0,75.0,50.0,0.0,15.0,25.0,0.0,0.0,62.5,33.333333333333336,0.0,0.0,8.0,3,3,0,11.0,19.0,19.0,4.0,0.0,6.0,0.0,2.4,2.7,2.3,0.0,0.0,0.0,0.0,0.0,34.0,14.0,10.0,45.0,23.958333333333336,1.8499999999999999,0.0
4503,SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-DALLAS,DALLAS,2010.0,89.0,27,35,13,43.8,33.3,17.1,15.384615384615385,4.5,7.4,8.6,7.6923076923076925,50.0,16.666666666666668,75.0,100.0,28.0,6,4,1,6.0,2.0,41.0,1.0,1.0,4.0,15.0,2.1,1.9,1.7,1.0,0.0,0.0,0.0,0.0,164.0,39.0,7.048076923076923,27.396153846153844,60.41666666666667,1.675,0.0
4504,TEXAS CENTER FOR REPRODUCTIVE HEALTH,DALLAS,2010.0,31.0,16,15,5,54.8,56.25,26.666666666666668,40.0,0.0,0.0,6.666666666666667,20.0,34.8,57.142857142857146,37.5,33.333333333333336,23.0,14,16,6,4.0,6.0,9.0,6.0,2.0,16.0,7.0,1.9,2.4,3.3,4.3,0.0,0.0,0.0,0.0,67.0,59.0,6.666666666666667,44.42916666666667,40.69404761904762,2.9749999999999996,0.0
4505,THE WOMEN'S PLACE,DESOTO,2010.0,7.0,6,2,0,0.0,16.666666666666668,0.0,0.0,28.571428571428573,33.333333333333336,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,26.0,5.0,5.0,0.0,0.0,21.0,0.0,2.3,2.3,3.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,27.976190476190478,4.166666666666667,0.0,1.9,0.0
4506,UNIVERSITY FERTILITY CENTER,DICKINSON,2010.0,26.0,5,2,1,46.2,40.0,0.0,0.0,11.5,0.0,50.0,100.0,33.333333333333336,50.0,0.0,0.0,3.0,2,2,0,15.0,6.0,2.0,4.0,0.0,11.0,4.0,2.4,3.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,7.0,40.375,21.55,20.833333333333336,1.85,0.0
4507,"SOUTHWEST CENTER FOR REPRODUCTIVE HEALTH, PA",EL PASO,2010.0,38.0,30,14,7,34.2,36.7,21.428571428571427,14.285714285714286,5.3,3.3,7.142857142857143,28.571428571428573,53.333333333333336,50.0,60.0,33.333333333333336,15.0,14,10,3,12.0,3.0,7.0,4.0,1.0,10.0,1.0,2.0,2.3,2.8,2.6,0.0,0.0,0.0,0.0,89.0,42.0,11.07857142857143,26.653571428571432,49.16666666666667,2.425,0.0
4508,WILFORD HALL MEDICAL CENTER,FORT SAM HOUSTON,2010.0,81.0,31,37,0,54.3,45.2,29.7,0.0,0.0,3.2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,6.0,2.0,4.0,3.0,22.0,1.0,1.9,2.0,2.5,0.0,0.0,0.0,0.0,0.0,149.0,0.0,1.475,32.3,0.0,1.6,0.0
4509,"FORT WORTH FERTILITY, PA",FORT WORTH,2010.0,151.0,59,46,20,47.7,23.7,21.7,0.0,2.0,0.0,2.2,10.0,35.5,40.0,16.666666666666668,0.0,31.0,10,6,0,14.0,5.0,14.0,1.0,1.0,24.0,9.0,2.0,2.0,2.2,2.4,0.0,0.0,0.0,0.0,276.0,47.0,3.55,23.275000000000002,23.041666666666668,2.15,0.0
4510,DALLAS IVF,FRISCO,2010.0,138.0,67,53,11,55.1,38.8,13.2,18.181818181818183,7.2,9.0,17.0,9.090909090909092,48.1,62.5,42.857142857142854,50.0,27.0,8,7,2,9.0,6.0,16.0,3.0,1.0,39.0,4.0,2.2,2.2,2.7,3.3,0.0,0.0,0.0,0.0,269.0,44.0,10.572727272727274,31.32045454545455,50.864285714285714,2.6,0.0
4511,ADVANCED FERTILITY CENTER OF TEXAS,HOUSTON,2010.0,70.0,15,33,8,37.1,60.0,18.2,12.5,2.9,0.0,3.0,12.5,50.0,28.571428571428573,22.22222222222222,66.66666666666667,28.0,7,9,3,9.0,13.0,3.0,7.0,1.0,7.0,11.0,2.3,2.2,2.8,3.1,0.0,0.0,0.0,0.0,126.0,47.0,4.6,31.95,41.86507936507937,2.6,0.0
4512,BAYLOR FAMILY FERTILITY PROGRAM,HOUSTON,2010.0,32.0,14,8,13,28.1,21.428571428571427,0.0,15.384615384615385,18.8,14.285714285714286,12.5,23.076923076923077,28.571428571428573,0.0,0.0,0.0,7.0,3,2,3,15.0,1.0,5.0,5.0,0.0,27.0,1.0,2.1,2.7,2.3,2.9,0.0,0.0,0.0,0.0,67.0,15.0,17.165659340659342,16.228296703296703,7.142857142857143,2.5,0.0
4513,FERTILITY SPECIALISTS OF HOUSTON,HOUSTON,2010.0,273.0,123,120,36,37.0,34.1,25.0,5.6,8.4,15.4,20.8,13.9,41.2,37.1,33.3,37.5,85.0,35,24,8,4.0,8.0,17.0,5.0,1.0,15.0,6.0,2.2,2.2,2.6,2.6,0.0,0.0,0.0,0.0,552.0,152.0,14.625,25.424999999999997,37.275000000000006,2.4,0.0
4514,HOUSTON FERTILITY INSTITUTE,HOUSTON,2010.0,338.0,159,129,50,51.5,38.4,34.1,18.0,2.1,4.4,3.9,6.0,48.2,47.3,40.0,18.181818181818183,137.0,55,50,11,5.0,6.0,20.0,2.0,2.0,13.0,3.0,2.0,1.9,2.1,2.5,0.0,0.0,0.0,0.0,676.0,253.0,4.1,35.5,38.42045454545455,2.125,0.0
4515,HOUSTON INFERTILITY CLINIC,HOUSTON,2010.0,73.0,37,41,19,39.7,32.4,22.0,10.526315789473685,8.2,13.5,26.8,21.05263157894737,55.55555555555556,25.0,50.0,0.0,9.0,4,2,0,8.0,0.0,10.0,0.0,2.0,36.0,13.0,2.0,1.9,2.0,2.2,0.0,0.0,0.0,0.0,170.0,15.0,17.388157894736842,26.15657894736842,32.638888888888886,2.0250000000000004,0.0
4516,HOUSTON IVF,HOUSTON,2010.0,150.0,70,67,29,50.7,54.3,28.4,20.7,0.7,2.9,3.0,0.0,38.7,22.22222222222222,42.857142857142854,66.66666666666667,31.0,18,7,3,5.0,5.0,35.0,5.0,2.0,8.0,1.0,2.0,2.2,2.6,3.7,0.0,0.0,0.0,0.0,316.0,59.0,1.65,38.525,42.611507936507934,2.625,0.0
4517,ADVANCED REPRODUCTIVE CARE CENTER OF IRVING,IRVING,2010.0,112.0,47,39,8,49.1,55.3,30.8,0.0,3.6,0.0,2.6,0.0,31.3,27.3,20.8,15.384615384615385,48.0,22,24,13,10.0,8.0,15.0,4.0,1.0,17.0,2.0,1.9,1.8,2.0,2.1,0.0,0.0,0.0,0.0,206.0,107.0,1.55,33.800000000000004,23.696153846153848,1.9500000000000002,0.0
4518,CENTER FOR FERTILITY AND REPRODUCTIVE SURGERY,LUBBOCK,2010.0,28.0,8,5,0,42.9,50.0,20.0,0.0,10.7,12.5,0.0,0.0,20.0,0.0,0.0,0.0,5.0,2,1,1,18.0,9.0,0.0,16.0,0.0,9.0,5.0,2.3,2.4,2.4,0.0,0.0,0.0,0.0,0.0,41.0,9.0,5.8,28.225,5.0,1.775,0.0
4519,THE CENTRE FOR REPRODUCTIVE MEDICINE,LUBBOCK,2010.0,43.0,15,9,6,46.5,60.0,22.22222222222222,33.333333333333336,0.0,13.333333333333334,0.0,0.0,42.857142857142854,0.0,0.0,0.0,7.0,1,1,0,10.0,3.0,4.0,2.0,1.0,7.0,2.0,1.7,1.8,2.0,2.2,0.0,0.0,0.0,0.0,73.0,9.0,3.3333333333333335,40.51388888888889,10.714285714285714,1.925,0.0
4520,REPRODUCTIVE INSTITUTE OF SOUTH TEXAS,MCALLEN,2010.0,57.0,29,23,6,47.4,37.9,13.0,16.666666666666668,5.3,6.9,8.7,0.0,50.0,33.333333333333336,0.0,0.0,6.0,3,1,0,18.0,6.0,4.0,1.0,4.0,11.0,4.0,2.6,2.7,2.9,3.7,0.0,0.0,0.0,0.0,115.0,10.0,5.225,28.741666666666667,20.833333333333336,2.9750000000000005,0.0
4521,PRESBYTERIAN HOSPITAL PLANO ARTS,PLANO,2010.0,157.0,70,46,21,40.8,34.3,15.2,9.5,4.5,10.0,13.0,9.5,50.0,50.0,13.333333333333334,0.0,40.0,10,15,1,4.0,23.0,6.0,4.0,1.0,16.0,4.0,2.1,2.6,3.3,2.6,0.0,0.0,0.0,0.0,294.0,66.0,9.25,24.95,28.333333333333332,2.65,0.0
4522,FERTILITY CENTER OF SAN ANTONIO,SAN ANTONIO,2010.0,134.0,66,64,24,54.5,39.4,21.9,25.0,5.2,12.1,14.1,25.0,48.6,53.8,38.9,66.66666666666667,37.0,26,36,3,14.0,6.0,6.0,5.0,1.0,20.0,4.0,2.0,2.1,2.4,2.6,0.0,0.0,0.0,0.0,288.0,102.0,14.1,35.2,51.991666666666674,2.275,0.0
4523,INSTITUTE FOR WOMEN'S HEALTH,SAN ANTONIO,2010.0,9.0,7,10,2,22.22222222222222,14.285714285714286,0.0,0.0,22.22222222222222,14.285714285714286,30.0,0.0,0.0,0.0,0.0,0.0,4.0,2,2,1,5.0,27.0,7.0,5.0,0.0,17.0,7.0,3.0,3.0,3.6,4.0,0.0,0.0,0.0,0.0,28.0,9.0,16.626984126984127,9.126984126984127,0.0,3.4,0.0
4524,PERINATAL AND FERTILITY SPECIALISTS,SAN ANTONIO,2010.0,6.0,6,6,2,50.0,50.0,50.0,0.0,0.0,0.0,16.666666666666668,0.0,20.0,0.0,0.0,0.0,5.0,1,0,0,0.0,7.0,10.0,17.0,3.0,28.0,0.0,3.5,2.8,2.8,4.0,0.0,0.0,0.0,0.0,20.0,6.0,4.166666666666667,37.5,5.0,3.275,0.0
4525,"REPRODUCTIVE MEDICINE ASSOCIATES OF TEXAS, PA",SAN ANTONIO,2010.0,100.0,44,29,4,43.0,34.1,13.8,0.0,12.0,6.8,20.7,50.0,50.0,37.5,14.285714285714286,0.0,22.0,8,7,3,9.0,13.0,5.0,5.0,2.0,30.0,5.0,2.0,2.2,2.4,3.0,0.0,0.0,0.0,0.0,177.0,40.0,22.375,22.724999999999998,25.446428571428573,2.4,0.0
4526,UNIVERSITY OF TEXAS MEDICINE WOMEN'S HEALTH CENTER,SAN ANTONIO,2010.0,17.0,26,11,6,11.764705882352942,3.8,36.36363636363637,0.0,29.41176470588235,38.5,27.272727272727273,16.666666666666668,20.0,0.0,0.0,0.0,5.0,5,6,4,20.0,15.0,10.0,4.0,1.0,20.0,7.0,2.0,2.5,2.6,2.0,0.0,0.0,0.0,0.0,60.0,20.0,27.962789661319075,12.982085561497328,5.0,2.275,0.0
4527,"NORTH HOUSTON CENTER FOR REPRODUCTIVE MEDICINE, PA",THE WOODLANDS,2010.0,31.0,12,4,3,61.3,50.0,25.0,0.0,0.0,16.666666666666668,0.0,0.0,30.0,22.22222222222222,0.0,0.0,10.0,9,0,1,3.0,13.0,4.0,4.0,0.0,7.0,0.0,2.0,2.2,1.7,3.0,0.0,0.0,0.0,0.0,50.0,20.0,4.166666666666667,34.075,13.055555555555555,2.225,0.0
4528,CENTER OF REPRODUCTIVE MEDICINE (CORM),WEBSTER,2010.0,95.0,49,41,11,49.5,22.4,12.2,27.272727272727273,10.5,8.2,24.4,18.181818181818183,31.0,31.57894736842105,10.526315789473685,0.0,42.0,19,19,2,16.0,17.0,23.0,12.0,4.0,17.0,6.0,1.9,1.9,2.1,2.6,0.0,0.0,0.0,0.0,196.0,82.0,15.320454545454545,27.84318181818182,18.276315789473685,2.125,0.0
4529,UTAH FERTILITY CENTER,PLEASANT GROVE,2010.0,48.0,7,6,0,50.0,14.285714285714286,16.666666666666668,0.0,0.0,0.0,16.666666666666668,0.0,16.666666666666668,0.0,0.0,0.0,12.0,4,2,2,5.0,13.0,11.0,17.0,0.0,23.0,4.0,2.2,1.8,2.7,0.0,0.0,0.0,0.0,0.0,61.0,20.0,4.166666666666667,20.23809523809524,4.166666666666667,1.675,0.0
4530,UTAH CENTER FOR REPRODUCTIVE MEDICINE,SALT LAKE CITY,2010.0,185.0,47,45,18,51.4,42.6,24.4,22.22222222222222,15.1,19.1,20.0,16.666666666666668,32.7,33.333333333333336,14.285714285714286,33.333333333333336,52.0,15,7,3,3.0,7.0,11.0,9.0,1.0,27.0,3.0,1.9,2.1,2.3,2.5,0.0,0.0,0.0,0.0,295.0,77.0,17.71666666666667,35.15555555555556,28.413095238095238,2.2,0.0
4531,REPRODUCTIVE CARE CENTER,SANDY,2010.0,233.0,47,36,13,38.2,36.2,36.1,15.384615384615385,5.2,10.6,16.7,23.076923076923077,32.3,0.0,12.5,0.0,62.0,11,8,1,4.0,9.0,7.0,5.0,1.0,27.0,2.0,2.0,2.1,2.0,1.9,0.0,0.0,0.0,0.0,329.0,82.0,13.89423076923077,31.471153846153847,11.2,2.0,0.0
4532,VERMONT CENTER FOR REPRODUCTIVE MEDICINE,BURLINGTON,2010.0,41.0,34,28,12,24.4,20.6,14.3,0.0,29.3,23.5,21.4,16.666666666666668,20.0,0.0,0.0,0.0,5.0,2,2,1,10.0,1.0,9.0,1.0,3.0,23.0,7.0,1.9,1.9,2.2,2.6,0.0,0.0,0.0,0.0,115.0,10.0,22.716666666666665,14.825,5.0,2.15,0.0
4533,WASHINGTON FERTILITY CENTER,ANNANDALE,2010.0,45.0,24,32,17,40.0,33.3,21.9,5.882352941176471,4.4,4.2,9.4,5.882352941176471,0.0,0.0,0.0,0.0,1.0,0,0,0,9.0,5.0,16.0,5.0,0.0,32.0,5.0,2.4,2.4,2.7,3.5,0.0,0.0,0.0,0.0,118.0,1.0,5.970588235294118,25.270588235294113,0.0,2.75,0.0
4534,DOMINION FERTILITY AND ENDOCRINOLOGY,ARLINGTON,2010.0,213.0,130,162,70,18.8,15.4,9.9,2.9,14.6,17.7,17.9,18.6,35.7,21.4,11.5,9.090909090909092,42.0,28,26,11,3.0,2.0,17.0,1.0,1.0,11.0,10.0,1.3,1.6,1.8,1.4,0.0,0.0,0.0,0.0,575.0,107.0,17.2,11.75,19.422727272727272,1.525,0.0
4535,"REPRODUCTIVE MEDICINE AND SURGERY CENTER OF VIRGINIA, PLC",CHARLOTTESVILLE,2010.0,65.0,50,30,6,35.4,26.0,20.0,33.333333333333336,6.2,12.0,20.0,33.333333333333336,28.6,8.333333333333334,66.66666666666667,0.0,28.0,12,3,3,9.0,8.0,6.0,11.0,1.0,23.0,2.0,2.1,2.4,3.3,3.8,0.0,0.0,0.0,0.0,151.0,46.0,17.883333333333333,28.683333333333337,25.900000000000002,2.9,0.0
4536,GENETICS & IVF INSTITUTE,FAIRFAX,2010.0,101.0,64,66,29,29.7,25.0,13.6,13.8,1.0,7.8,7.6,6.9,30.3,38.1,37.5,0.0,33.0,21,16,4,4.0,3.0,30.0,1.0,1.0,14.0,12.0,1.9,2.1,2.1,2.6,0.0,0.0,0.0,0.0,260.0,74.0,5.824999999999999,20.525,26.475,2.175,0.0
4537,THE MUASHER CENTER FOR FERTILITY AND IVF,FAIRFAX,2010.0,38.0,26,30,15,23.7,26.9,10.0,0.0,5.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4,1,10.0,4.0,11.0,4.0,4.0,17.0,4.0,2.1,2.0,2.6,2.8,0.0,0.0,0.0,0.0,109.0,10.0,3.825,15.149999999999999,0.0,2.375,0.0
4538,JONES INSTITUTE FOR REPRODUCTIVE MEDICINE,NORFOLK,2010.0,98.0,54,61,18,27.6,27.8,14.8,11.11111111111111,3.1,7.4,9.8,0.0,45.7,17.647058823529413,40.0,20.0,35.0,17,15,10,11.0,8.0,16.0,2.0,1.0,14.0,3.0,2.1,2.1,2.2,2.4,0.0,0.0,0.0,0.0,231.0,77.0,5.075,20.32777777777778,30.836764705882352,2.2,0.0
4539,VIRGINIA CENTER FOR REPRODUCTIVE MEDICINE,RESTON,2010.0,48.0,37,24,17,58.3,48.6,25.0,17.647058823529413,2.1,13.5,8.3,0.0,100.0,0.0,0.0,0.0,1.0,3,3,0,6.0,0.0,10.0,0.0,0.0,10.0,2.0,1.8,2.0,2.1,2.4,0.0,0.0,0.0,0.0,126.0,7.0,5.975,37.38676470588236,25.0,2.075,0.0
4540,FERTILITY INSTITUTE OF VIRGINIA,RICHMOND,2010.0,75.0,30,30,12,45.3,36.7,26.7,8.333333333333334,2.7,13.3,13.3,33.333333333333336,50.0,29.0,25.0,40.0,46.0,31,12,5,12.0,7.0,13.0,11.0,1.0,29.0,2.0,2.0,2.1,2.9,4.1,0.0,0.0,0.0,0.0,147.0,94.0,15.658333333333335,29.258333333333333,36.0,2.775,0.0
4541,LIFESOURCE FERTILITY CENTER,RICHMOND,2010.0,37.0,11,4,3,35.1,27.272727272727273,25.0,33.333333333333336,5.4,0.0,0.0,33.333333333333336,52.0,40.0,50.0,66.66666666666667,25.0,10,6,3,1.0,3.0,4.0,0.0,0.0,33.0,1.0,1.8,2.0,2.8,2.5,0.0,0.0,0.0,0.0,55.0,44.0,9.683333333333334,30.176515151515154,52.16666666666667,2.275,0.0
4542,THE RICHMOND CENTER FOR FERTILITY AND ENDOCRINOLOGY,RICHMOND,2010.0,47.0,27,22,4,48.9,40.7,27.3,50.0,6.4,11.1,18.2,25.0,62.5,30.0,0.0,33.333333333333336,16.0,10,3,3,5.0,10.0,5.0,5.0,1.0,17.0,3.0,2.0,2.3,2.7,3.7,0.0,0.0,0.0,0.0,100.0,32.0,15.175,41.724999999999994,31.458333333333336,2.675,0.0
4543,UNIVERSITY CENTER FOR ADVANCED REPRODUCTIVE MEDICINE,RICHMOND,2010.0,10.0,3,2,0,20.0,0.0,0.0,0.0,20.0,33.333333333333336,0.0,0.0,60.0,0.0,0.0,0.0,5.0,0,1,0,29.0,10.0,10.0,0.0,0.0,5.0,0.0,1.8,1.5,4.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,13.333333333333334,5.0,15.0,1.825,0.0
4544,THE NEW HOPE CENTER FOR REPRODUCTIVE MEDICINE,VIRGINIA BEACH,2010.0,85.0,30,33,8,50.6,46.7,21.2,12.5,2.4,10.0,18.2,0.0,48.0,44.44444444444444,37.5,16.666666666666668,25.0,9,8,6,5.0,8.0,17.0,5.0,3.0,5.0,4.0,2.1,2.3,2.3,2.9,0.0,0.0,0.0,0.0,156.0,48.0,7.65,32.75,36.65277777777778,2.4,0.0
4545,"FRANCISCO M. IRIANNI, MD",WINCHESTER,2010.0,10.0,6,3,2,40.0,33.333333333333336,0.0,0.0,30.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,1.0,3,0,0,6.0,6.0,13.0,3.0,0.0,6.0,0.0,1.9,2.5,4.0,4.5,0.0,0.0,0.0,0.0,21.0,4.0,7.5,18.333333333333336,8.333333333333334,3.225,0.0
4546,"OVERLAKE REPRODUCTIVE HEALTH INC., PS",BELLEVUE,2010.0,34.0,22,12,4,55.9,36.4,16.666666666666668,0.0,0.0,13.6,8.333333333333334,50.0,44.44444444444444,0.0,0.0,100.0,9.0,3,2,1,1.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,1.9,2.5,2.5,0.0,0.0,0.0,0.0,72.0,15.0,17.983333333333334,27.241666666666667,36.111111111111114,2.225,0.0
4547,WASHINGTON CENTER FOR REPRODUCTIVE MEDICINE,BELLEVUE,2010.0,40.0,29,18,3,47.5,17.2,16.666666666666668,33.333333333333336,0.0,10.3,11.11111111111111,0.0,57.142857142857146,0.0,66.66666666666667,0.0,14.0,5,3,0,2.0,1.0,23.0,1.0,0.0,15.0,36.0,1.9,2.2,2.3,1.7,0.0,0.0,0.0,0.0,90.0,22.0,5.352777777777778,28.675000000000004,30.952380952380956,2.025,0.0
4548,BELLINGHAM IVF,BELLINGHAM,2010.0,27.0,12,8,3,59.3,16.666666666666668,0.0,0.0,3.7,0.0,0.0,33.333333333333336,15.384615384615385,33.333333333333336,11.11111111111111,0.0,13.0,6,9,0,8.0,18.0,8.0,1.0,0.0,21.0,0.0,2.0,2.1,2.7,3.5,0.0,0.0,0.0,0.0,50.0,28.0,9.258333333333335,18.991666666666667,14.957264957264957,2.575,0.0
4549,NORTHWEST CENTER FOR REPRODUCTIVE SCIENCES,KIRKLAND,2010.0,99.0,54,62,16,47.5,42.6,29.0,18.75,10.1,11.1,11.3,18.75,42.4,31.57894736842105,37.5,20.0,33.0,19,8,5,5.0,9.0,18.0,4.0,1.0,17.0,6.0,2.0,2.5,2.8,3.5,0.0,0.0,0.0,0.0,231.0,65.0,12.8125,34.4625,32.86973684210526,2.7,0.0
4550,OLYMPIA WOMEN'S HEALTH,OLYMPIA,2010.0,22.0,6,12,1,31.8,33.333333333333336,16.666666666666668,0.0,0.0,0.0,0.0,0.0,20.0,0.0,50.0,0.0,5.0,0,2,0,39.0,2.0,10.0,28.0,2.0,2.0,2.0,1.6,1.8,2.3,1.0,0.0,0.0,0.0,0.0,41.0,7.0,0.0,20.450000000000003,17.5,1.675,0.0
4551,PACIFIC NORTHWEST FERTILITY AND IVF SPECIALISTS,SEATTLE,2010.0,82.0,67,78,35,42.7,38.8,21.8,11.4,6.1,6.0,24.4,20.0,55.7,50.0,41.9,27.272727272727273,61.0,46,31,11,3.0,2.0,18.0,3.0,1.0,16.0,30.0,1.9,2.1,2.5,3.5,0.0,0.0,0.0,0.0,262.0,149.0,14.125,28.675,43.71818181818182,2.5,0.0
4552,SEATTLE REPRODUCTIVE MEDICINE,SEATTLE,2010.0,269.0,145,146,77,53.5,40.0,28.1,14.3,4.8,6.9,11.6,10.4,30.7,40.0,27.8,16.666666666666668,75.0,35,36,12,8.0,6.0,23.0,4.0,1.0,21.0,6.0,1.5,1.8,2.1,2.4,0.0,0.0,0.0,0.0,637.0,158.0,8.424999999999999,33.975,28.791666666666668,1.9500000000000002,0.0
4553,UNIVERSITY REPRODUCTIVE CARE,SEATTLE,2010.0,3.0,2,0,1,66.66666666666667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,29.166666666666668,0.0,1.75,0.0
4554,THE CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND FERTILITY,SPOKANE,2010.0,76.0,22,19,2,75.0,36.4,36.8421052631579,0.0,2.6,4.5,5.2631578947368425,50.0,36.4,26.31578947368421,57.142857142857146,16.666666666666668,22.0,19,7,6,7.0,4.0,8.0,2.0,0.0,32.0,3.0,2.1,2.4,3.1,3.0,0.0,0.0,0.0,0.0,119.0,54.0,15.590789473684211,37.060526315789474,34.131328320802005,2.65,0.0
4555,"GYFT CLINIC, PLLC",TACOMA,2010.0,35.0,12,18,3,42.9,25.0,16.666666666666668,66.66666666666667,8.6,0.0,5.555555555555555,0.0,55.55555555555556,25.0,0.0,0.0,9.0,4,0,0,8.0,14.0,8.0,6.0,0.0,27.0,1.0,2.3,3.9,4.1,3.7,0.0,0.0,0.0,0.0,68.0,13.0,3.5388888888888888,37.80833333333334,20.13888888888889,3.5,0.0
4556,MADIGAN ARMY MEDICAL CENTER,TACOMA,2010.0,34.0,25,23,11,47.1,36.0,26.1,9.090909090909092,5.9,8.0,13.0,27.272727272727273,30.0,50.0,0.0,0.0,10.0,4,0,0,13.0,6.0,13.0,8.0,1.0,17.0,5.0,1.8,2.1,2.4,2.6,0.0,0.0,0.0,0.0,93.0,14.0,13.543181818181818,29.57272727272727,20.0,2.225,0.0
4557,WEST VIRGINIA UNIVERSITY FERTILITY CENTER,CHARLESTON,2010.0,24.0,5,8,1,33.3,60.0,37.5,0.0,8.3,0.0,25.0,100.0,20.0,0.0,0.0,0.0,5.0,0,2,0,8.0,6.0,29.0,10.0,2.0,12.0,4.0,2.2,2.4,2.3,0.0,0.0,0.0,0.0,0.0,38.0,7.0,33.325,32.7,5.0,1.7249999999999999,0.0
4558,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE,HUNTINGTON,2010.0,15.0,5,10,0,33.333333333333336,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,100.0,0.0,5.0,1,1,0,22.0,16.0,0.0,14.0,0.0,16.0,22.0,2.3,3.8,3.4,0.0,0.0,0.0,0.0,0.0,30.0,7.0,5.0,13.333333333333334,30.0,2.375,0.0
4559,WEST VIRGINIA UNIVERSITY CENTER FOR REPRODUCTIVE MEDICINE,MORGANTOWN,2010.0,25.0,11,13,1,48.0,9.090909090909092,15.384615384615385,0.0,8.0,9.090909090909092,30.76923076923077,0.0,0.0,0.0,0.0,0.0,2.0,3,0,0,11.0,0.0,2.0,4.0,0.0,4.0,0.0,2.4,2.2,2.0,2.0,0.0,0.0,0.0,0.0,50.0,5.0,11.965034965034967,18.11888111888112,0.0,2.15,0.0
4560,AURORA FERTILITY SERVICES-GREEN BAY,GREEN BAY,2010.0,63.0,17,15,12,42.9,29.41176470588235,13.333333333333334,8.333333333333334,1.6,0.0,0.0,0.0,29.0,7.6923076923076925,66.66666666666667,50.0,31.0,13,3,2,4.0,2.0,1.0,0.0,1.0,43.0,2.0,2.0,1.8,2.2,2.0,0.0,0.0,0.0,0.0,107.0,49.0,0.4,23.494607843137253,38.33974358974359,2.0,0.0
